genero,anio,plataforma,nombre,tipo,resultado,clave_juego
"['avt', 'aventura']","['24', '2024']","['ps', 'play station']","['astr', 'astrobot']","['gam', 'juego base']","['si', 'si']",avt24psastrgamsi
"['rpg', 'rpg']","['24', '2024']","['ga', 'multiplataforma(gama alta)']","['elri', 'elden ring']","['gam', 'juego base']","['si', 'si gano ']",rpg24gaelrigamsi
"['rpg', 'rpg']","['24', '2024']","['ga', 'multiplataforma(gama alta)']","['fif7', 'final fantasy 7']","['rmk', 'remake']","['no', 'no gano']",rpg24gafif7rmkno
"['car', 'cartas']","['24', '2024']","['pc', 'pc']","['bala', 'balatro']","['gam', 'juego base']","['no', 'no gano']",car24pcbalagamno
"['oth', 'roguelite']","['uk', '2011']","['pc', 'pc']","['tboi', 'the biding of isaac']","['gam', 'juego base']","['na', 'no aplica a']",othukpctboigamna
